"","번호","계정이름","작성일","내용"
"107",107,"kokoman88","5/25/2012","민주통합당은 지난 4·11총선에서 통합진보당에 끌려다니며, 후보단일화라는 명분아래 무려 35개 지역구를 주사파가 장악한 진보당에 넘겨줬지요. 진보당의 종북세력이 국회에 다수 자리잡는데에 민주통합당이 혁혁한 공을 세운 것입니다."
"108",108,"danongsa","5/28/2012","대한민국에서 뻘갱이를 뻘갱이라고 했다고, 종북을 종북이라고 했다고, 고소를 당하면서 역차별 받는 세상에서 살면서 뻘갱이들로부터 대한민국을 지키려다 전과자가 된 분들에게는 애국운동의 공로를 인정해서 표창하고 국가유공자로 인정해야 할 것입니다."
"109",109,"flagday11","5/28/2012","보수논객 전원책 변호사가 26일 '생방송 심야토론'에서 종북주의를 언급하며 ""김정일·김정은을 '개XX'라고 욕할 수 있으면 종북세력이 아니다""고 정리, 발언이 방송에 적합하진 않지만 확고한 정체성과 주적관을 확립하고 있다는 점에서 박수를 보냅니다."
"110",110,"modular2","5/28/2012","월남이 패망당시 군사력이 세계 4위 였음에도 불구하고 패망한 이유는 각계 각층에 침투한 월맹세작들 때문...우리 국회에 입성하는 종북세작들에게 대한민국 국민들이 그렇게 쉽지 않다는 것을 알려야 하며 종북세력 일망타진을 위한 종합대책을 마련해야 한다."
"111",111,"uccsns","5/28/2012","전원책 변호사의 일침, 그리고 종북의원들의 말말말... 종합판이네요.(애국세력 필감).."
"112",112,"dinghoa","5/29/2012","조만간 국회에 입성하는 종북의원 분들 사상검증 필요합니다..."
"113",113,"dinghoa","5/29/2012","종북세력 드디어 국회입성하네요. 종북의원들의 동문서답 사상검증 편입니다..."
"114",114,"dinghoa","5/29/2012","진중권 교수, 또 똘짓하네요. 도대체 그의 프레임은 어디까지 일까요? 정체가 너무 모호해서리... 종북검증 이야기를 엉뚱한 것과 비교 해석하고 있으니..."
"115",115,"dinghoa","5/29/2012","통진당은 선거비용 외 정치자금 일부를 이석기 당선자가 운영하는 CN커뮤니케이션즈와 계열사인 사회동향연구소에 일감을 몰아주는 방식으로 지출... 결국 국민의 세금을 종북 주사파 활동자금으로 지원해준 꼴... 정신차립시다. 대한민국 지키려면..."
"116",116,"dinghoa","5/29/2012","당 비례대표 경선 부정의혹에 휩싸인 통합진보당이 4.11총선에서 선거비용을 가장 많이 쓴 정당으로 드러났다. 어이상실, 배신감 2배... 국민의 혈세가 저런식으로 쓰이고 있다니... 그래도 국민위에 당원이 있다고 생각하나 통진당 주사파들이여..."
"117",117,"odettejoo","5/29/2012","종북 주사파 출신의 당선자들이 오는 30일 19대 국회에 입성해 주요 상임위를 틀어쥐고 군사기밀 유출 등
주요 정보를 다루게 될 경우 국가 안보를 위협하는 심각한 상황을 맞는다는건 불보듯 뻔한일!! ㅠ.ㅠ 막을 도리가 없다는게 분하네!!"
"118",118,"subakjoo9","5/29/2012","그러나 종북주의자들에게 ""변해야 된다""고 요청하는 수준이 되어선 안된다. 이 대통령은 그들이 변하지 않을 수 없도록 법을 행사해야 한다. 즉, 종북진보당을 상대로 헌법 8조에 따른 위헌정당 해산절차를 시작해야 한다. 변하게 해야 하는 것이다!"
"119",119,"l_kanghee","5/30/2012","주사파 출신이고 고대 학생회장이었던 이종철씨가 '종북세력의 목표는 대한민국을 전복시키고 김정을을 통일 대통령으로 만드는것""이라고 고백했다. 지금이라도 간첩의원들을 추방해야 한다"
"120",120,"ddombang1","5/31/2012","통진당은 비례대표 선출과정에서 부정경선 문제가 내부에서 불거져 나와 검찰 조사로 이어졌으나, 그들은 해결할 의지도 능력도 없으며  
결국 종북과 간첩활동을 합법적으로 할 수 있는 교두보를 마련하여 국가의 안보에 심각한 문제를 초래하고 있습니다."
"121",121,"odettejoo","5/31/2012","정작 진보당은 가관입니다. 대통령이 종북운운한다고 강기갑 등은 대통령을 조롱하고 나섰습니다. ㅋㅋ 도둑이 제발저렸나요? 아닌게 아닌건 맞나보네요. 스스로 인증했습니다."
"122",122,"odettejoo","5/31/2012","김재연이나 이석기 같은 종북세력 반짝 비판 이후 무관심으로 종북세력의 내성만 키워주는게 아닌지 염려스럽다..."
"123",123,"odettejoo","5/31/2012","진보당은 대통령에게 ""번지수를 잘못 짚었다""고 응수했던데, 빨갱이는 역시나 어쩔 수 없는 건지..한마디로 멍청합니다 정말.. 번지수를 잘못 짚은 것은 대통령이 아니라 진보당인듯 한데..."
"124",124,"odettejoo","5/31/2012","통진당은 북한에는 충성 일변도다.

북한의 3대 세습을 비판한 적이 한번도 없음은 이를 증명하고 있다..

그들은 애국가만 사절하는 게 아니다. 6·25를 북한이 일으켰다는 말도 못한다."
"125",125,"odettejoo","5/31/2012","통진당은 결사의 자유와 사상의 자유도 누리고 있고 대학가에 파고들어가 거대한 대학생 조직도 만들었다.
또 거액의 국고보조금도 받고 있다. 이런 특권을 가진 정당이 대한민국에 대해 애정이나 소속감이 없다면

어떻게 된 것인가??"
"126",126,"dinghoa","6/1/2012","조선중앙통신에 따르면 조평통은 “남조선에서 문제 되는 것은 종북(從北)이 아니라 종미(從美)”라고 주장, 이는 정확히 20일 전인 지난 5월11일 이석기 의원의 말과 똑같이 오버랩된다. 어쩜 북한과 그리도 똑같을까. 그러니 종북세력이지...."
"127",127,"return_to_earth","6/1/2012","종북이들 한테 북한 3대세습에 대해 의견을 물으면 북한만의 사정이 있다는 식으로 답한다. 아니 역사가 거꾸로 가는 것도 아니고 지금이 중세시대냐? 세습이 왠말이냐? 그러고도 민주공화국? 애라 차라리 장군님 내남자라 해라 그게 솔직하다"
"128",128,"choiselee","6/2/2012","우리나라에 있는 주사파 종북좌파들은 북한을 보고 무슨 생각을 할까. 아직도 자신들이 그리는 낙원이라고 착각 하나보다. 그리고그 신념이 워낙 확고해 다른 사람들의 목소리는 귀에 안들어오나 보다"
"129",129,"dahada7","6/2/2012","종북여부에 대해선 논란이 있지만 민주통합당의 은수미 비례대표 당선자는 사노맹사건으로 복역한 전력을 갖고 있다 한다. 이러한 전력을 갖고 있는 통합진보당 당원들이 국회에 들어갈 경우 과연 우리 국회는 안전할까?"
"130",130,"yesstory365","6/2/2012","임수경이 김정일 개새끼 라고는 못하면서 대한민국의 자유를 찾아 탈북한 새터민에게는 변절자나
  '탈북자 새끼'라 욕하는것은 진보의 탈을 쓰고 숨겨온 자신의 종북근성을 드러낸 꼴http://t.co/0smdkBlFhttp://t.co/Yb8hXQyj"
"131",131,"dinghoa","6/4/2012","하 의원은 임 의원이 탈북자들이 왜 변절자이고 누구를 변절한 것인지 밝히라고 요구. 하 의원은 북한의 3대 세습과 인권 참상에 침묵으로 일관하는 국내 종북 세력이야말로 민주와 인권을 배신한 변절자들이라고 비판"
"132",132,"sm7520up","6/4/2012","종북 주사(酒邪)파의 취중진담ㅋㅋㅋhttp://t.co/GlRdKYmz"
"133",133,"type0789","6/4/2012","ㅋㅋㅋRT @###520up종북 주사(酒邪)파의 취중진담ㅋㅋㅋhttp://t.co/3heTv6kz"
"134",134,"danongsa","6/5/2012","종북세력의 실체를 전국민이 알게 되는거 같아 북한이 안달이 났습니다. 보수언론사 타격부터 해서 야당에 종북의원 구하기 명령 하달까지...종북세력이 무너지면 북한에게 아주 큰 피해이긴 한 모양입니다"
"135",135,"namjunha","6/5/2012","대한민국에 살면서 국민의례도 하지 않고, 애국가도 부르지 않는 반 대한민국 인사, 적을 추종하는 종북주사파들이 당당하게 국회의원의 신분이 되어가고 있다.  대한민국은 과연 지금 어디로 가고 있는걸까요?"
"136",136,"odettejoo","6/5/2012","통진당 내 종북인물---- 박경순편 ㅋㅋㅋㅋ
3대세습 욕하지 말라네~~ 북한 주민들이 동의 한거라구 ㅋㅋㅋ 어이없음http://t.co/OnkOnrl6"
"137",137,"subakjoo9","6/5/2012","종북 성향을 고수하고 있는 사람들이 국회에 입성 했다는 것 자체가 그 얼마나 모골이 섬짓한 일인가? 

  

민주당은 탈북 인사들에게 ‘변절자’라고 외치며 행패 부렸던 종북인사를 하루 빨리 국회에서 제명해야 하는것 아닌가."
"138",138,"vvip31","6/6/2012","미군 궤도차량에 치는 사고로 숨진 신효순, 심미선에 대해서는 6.13만 되면 10년이 넘도록 떠들썩하게 반미 반정부 구호 외치는 좌파들! 금강산 관광 중에 북한군의 조준 사격에 사망한 이왕자씨에 대해서는 계속 왜 침묵으로 일관할까요??"
"139",139,"vvip31","6/7/2012","북한은 지금도 대남 협박 발언을 하면서 무력도발을 준비하고 있다. 한반도 적화 야욕을 버리지 않는 북한과 대치한 이런 상황에서 국가기밀 문서를 다룰 수 있는 종북 의원들이 국회를 활보하게 나둘순 없죠. 당연히 몰아내야 합니다."
"140",140,"subakjoo9","6/8/2012","종북인사프로필: 임수경-민통당국회의원, 문익환 목사기념사업회 사무국장, ""남한정권은 반통일 세력(89.6.30), ""북한인권운동가 하태경! 그 변절자 새끼 내손으로 죽여버릴꺼야! (12.6.1)"
"141",141,"flagday11","6/9/2012","국가정체성에 문제가 있는 종북 국회의원 제명 추진은 국민 여론을 반영한 합당한 조치로 색깔론이나 공안정국으로 몰아가선 안된다. 이적 단체 활동 및 밀입북 전력을 갖고 있던 국회의원이 지금 어떤 생각을 하는지는 색깔론이 아니라 합리적인 의심이다."
"142",142,"kiminhye0","6/9/2012","친북종북 세력들은 정부의 대북정책을 비난하기 앞서 북한 핵무장에 대해 국민 들의 눈과 귀를 막고 북한의 핵개발을 도운 책임에 대해 국민 앞에 사죄해야 함이 마땅하다"
"143",143,"subakjoo9","6/9/2012","종북세력들은 가뜩이나 식량난에 허덕이는 북한 주민을 생각할때 너무한 처사 아닌가 할 수도 있지만 우리가 북한에 제공한 식량이 굶주리고 있는 북한주민들에게 골고루 나누어 배급되지 않고 군용으로 전용되거나 핵무기와 미사일을 만드는데 쓰이니 이를어째요"
"144",144,"subakjoo9","6/9/2012","이런걸 끼리끼리 논다고 하지~ 
임수경 한상렬 옹호하더니 드뎌 막말 파문으로 사퇴 압박을 받고 있는 임수경 의원이 북한 주체사상과 선군정치를 찬양한 혐의로 기소된 한상렬의 항소심 공판에 증인으로 출석해 종북주의 성향이 엿보이는 발언을 쏟아냈다네요."
"145",145,"doremijang","6/10/2012","현재 대한민국에서 북한 종노릇하는 자들이 더 큰 소리를 치고 사는 세상이 되었다. 종북에게 종북이라고 한다고 민·형사상으로 고소고발을 남발하고 있으며, 종북이라고 한다고 색깔론을 들고 나오며 매카시즘에 강력하게 대응하겠다고 나온다."
"146",146,"leanannek","6/10/2012","그래. 북괴와 중국은 전쟁날까봐 고개를 숙여야 하고 미국에게는 마음껏 개겨봐야 한다는 것이 종북의 논리. 친한 친구니까 ㅈㄹ해도 괜찮고 적에게는 살살 대하고. 참 호구스러운 논리다."
"147",147,"moorisoo33","6/10/2012","절대수령주의 계급 주체사상이나 살인세습독재자 김일성,김정일,김정은에 대한 비판은 뻥끗도 못하면서 종북보다는 종미가 문제라 떠들어대는 사람으로 인해 국민은 그들의 실체를 잘 알수가 있었죠."
"148",148,"ourtwostars","6/10/2012","김일성의 지령에 따라 결성된 범민련 남측본부는 연방제 통일, 주한미군 철수 등을 표방했다. 대법원이 97년 이적단체로 지정했음에도 여전히 해체되지 않고 있다. 북한 공작원의 지령을 받아 노골적인 반한운동을 해왔다. 그들의 종북 행각은 끝이 안 보인다."
"149",149,"vvip31","6/11/2012","북한이 연일 종북세력 척결에 대해 방해 공작에 나서고 있다. 종북들이 북한 체제 유지에 상당한 도움을 주고 생각하기 때문일 것이다. 이럴 때일수록 북한의 협박과 종북세력의 색깔론 시비에 종북 색출에 후퇴란 있을 수 없다."
"150",150,"zalman12","6/11/2012","효순·미선이를 기억하기 위해 추모비를 미군이 세웠다는 이유만으로 심하게 훼손되고 10년째 보내온 꽃도 내동댕이쳐져 있다니 유족들이 마음이 아플만도 하네요. 결국 종북 세력들은 두 학생의 죽음을 추모하는게 아니라 선동 수단으로 보는 거네요."
"151",151,"kiminhye0","6/12/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"152",152,"snailcharm","6/12/2012","최근 통합진보당 이석기·김재연 의원 문제로 종북(從北)의 실태가 적나라하게 드러나고, 종북세력이 수세에 몰리자 북한 정권이 이들을 지원하기 위한 작전에 나섰다."
"153",153,"snailcharm","6/12/2012","북한 정권이 남남 갈등을 증폭시키려 종북세력을 지원하기 위한 작전에 나섰다 북한의 물타기 꼼수에도 불구하고 종북세력 척결의 당위성이 결코 희석돼서는 안된다."
